,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,city,dates,theatre,city_opening_date,city_closing_date
0,0,0,0,The Lion King (Tour: Gazelle),"Houston, TX","Jun 27, 2017 - Jul 23, 2017",Hobby Center For The Performing Arts,2017-06-27 00:00:00,2017-07-23 00:00:00
1,1,1,1,The Lion King (Tour: Gazelle),"Greenville, SC","May 31, 2017 - Jun 25, 2017",Peace Center For The Performing Arts,2017-05-31 00:00:00,2017-06-25 00:00:00
2,2,2,2,The Lion King (Tour: Gazelle),"Oklahoma City, OK","May 09, 2017 - May 28, 2017",Civic Center Music Hall,2017-05-09 00:00:00,2017-05-28 00:00:00
3,3,3,3,The Lion King (Tour: Gazelle),"St. Louis, MO","Apr 18, 2017 - May 07, 2017",Fox Theatre - St. Louis,2017-04-18 00:00:00,2017-05-07 00:00:00
4,4,4,4,The Lion King (Tour: Gazelle),"Salt Lake City, UT","Mar 23, 2017 - Apr 16, 2017",George S. and Dolores Doré Eccles Theater,2017-03-23 00:00:00,2017-04-16 00:00:00
5,5,5,5,The Lion King (Tour: Gazelle),"Providence, RI","Feb 28, 2017 - Mar 19, 2017",Providence Performing Arts Center,2017-02-28 00:00:00,2017-03-19 00:00:00
6,6,6,6,The Lion King (Tour: Gazelle),"Detroit, MI","Feb 01, 2017 - Feb 26, 2017",Detroit Opera House,2017-02-01 00:00:00,2017-02-26 00:00:00
7,7,7,7,The Lion King (Tour: Gazelle),"New Orleans, LA","Jan 04, 2017 - Jan 29, 2017",Saenger Theatre (LA),2017-01-04 00:00:00,2017-01-29 00:00:00
8,8,8,8,The Lion King (Tour: Gazelle),"San Francisco, CA","Nov 02, 2016 - Dec 31, 2016",Orpheum Theatre - San Francisco,2016-11-02 00:00:00,2016-12-31 00:00:00
9,9,9,9,The Lion King (Tour: Gazelle),"Albuquerque, NM","Oct 04, 2016 - Oct 30, 2016",Popejoy Hall,2016-10-04 00:00:00,2016-10-30 00:00:00
10,10,10,10,The Lion King (Tour: Gazelle),"San Diego, CA","Sep 07, 2016 - Oct 02, 2016",San Diego Civic Theatre,2016-09-07 00:00:00,2016-10-02 00:00:00
11,11,11,11,The Lion King (Tour: Gazelle),"Portland, OR","Aug 10, 2016 - Sep 04, 2016",Keller Auditorium,2016-08-10 00:00:00,2016-09-04 00:00:00
12,12,12,12,The Lion King (Tour: Gazelle),"Minneapolis, MN","Jul 05, 2016 - Aug 07, 2016",Orpheum Theatre - Minneapolis,2016-07-05 00:00:00,2016-08-07 00:00:00
13,13,13,13,The Lion King (Tour: Gazelle),"Dayton, OH","Jun 07, 2016 - Jul 03, 2016",Schuster Performing Arts Center: Mead Theatre,2016-06-07 00:00:00,2016-07-03 00:00:00
14,14,14,14,The Lion King (Tour: Gazelle),"Madison, WI","May 10, 2016 - Jun 05, 2016",Overture Center,2016-05-10 00:00:00,2016-06-05 00:00:00
15,15,15,15,The Lion King (Tour: Gazelle),"Richmond, VA","Apr 19, 2016 - May 08, 2016",Altria Theater,2016-04-19 00:00:00,2016-05-08 00:00:00
16,16,16,16,The Lion King (Tour: Gazelle),"Schenectady, NY","Mar 22, 2016 - Apr 17, 2016",Proctors,2016-03-22 00:00:00,2016-04-17 00:00:00
17,17,17,17,The Lion King (Tour: Gazelle),"Durham, NC","Feb 16, 2016 - Mar 20, 2016",Durham Performing Arts Center,2016-02-16 00:00:00,2016-03-20 00:00:00
18,18,18,18,The Lion King (Tour: Gazelle),"Tampa, FL","Jan 20, 2016 - Feb 14, 2016","David A. Straz, Jr. Center for the Performing Arts",2016-01-20 00:00:00,2016-02-14 00:00:00
19,19,19,19,The Lion King (Tour: Gazelle),"Chicago, IL","Dec 02, 2015 - Jan 17, 2016",Cadillac Palace Theatre,2015-12-02 00:00:00,2016-01-17 00:00:00
20,20,20,20,The Lion King (Tour: Gazelle),"Denver, CO","Nov 04, 2015 - Nov 29, 2015",Buell Theatre,2015-11-04 00:00:00,2015-11-29 00:00:00
21,21,21,21,The Lion King (Tour: Gazelle),"Costa Mesa, CA","Oct 06, 2015 - Nov 01, 2015",Segerstrom Center for the Arts,2015-10-06 00:00:00,2015-11-01 00:00:00
22,22,22,22,The Lion King (Tour: Gazelle),"San Jose, CA","Sep 09, 2015 - Oct 04, 2015",San Jose Center For The Performing Arts,2015-09-09 00:00:00,2015-10-04 00:00:00
23,23,23,23,The Lion King (Tour: Gazelle),"Calgary, AB","Aug 11, 2015 - Sep 06, 2015",Southern Alberta Jubilee Auditorium,2015-08-11 00:00:00,2015-09-06 00:00:00
24,24,24,24,The Lion King (Tour: Gazelle),"Edmonton, AB","Jul 14, 2015 - Aug 09, 2015",Northern Alberta Jubilee Auditorium,2015-07-14 00:00:00,2015-08-09 00:00:00
25,25,25,25,The Lion King (Tour: Gazelle),"Vancouver, BC","Jun 18, 2015 - Jul 12, 2015",Queen Elizabeth Theatre,2015-06-18 00:00:00,2015-07-12 00:00:00
26,26,26,26,The Lion King (Tour: Gazelle),"Philadelphia, PA","May 20, 2015 - Jun 14, 2015",Academy Of Music: Kimmel Center,2015-05-20 00:00:00,2015-06-14 00:00:00
27,27,27,27,The Lion King (Tour: Gazelle),"Des Moines, IA","Apr 28, 2015 - May 17, 2015",Des Moines Civic Center,2015-04-28 00:00:00,2015-05-17 00:00:00
28,28,28,28,The Lion King (Tour: Gazelle),"Cincinnati, OH","Mar 31, 2015 - Apr 26, 2015",Aronoff Center For The Arts: Procter &amp; Gamble Hall,2015-03-31 00:00:00,2015-04-26 00:00:00
29,29,29,29,The Lion King (Tour: Gazelle),"Louisville, KY","Mar 03, 2015 - Mar 29, 2015",Kentucky Center For The Performing Arts,2015-03-03 00:00:00,2015-03-29 00:00:00
30,30,30,30,The Lion King (Tour: Gazelle),"Memphis, TN","Feb 03, 2015 - Mar 01, 2015",Orpheum Theatre - Memphis,2015-02-03 00:00:00,2015-03-01 00:00:00
31,31,31,31,The Lion King (Tour: Gazelle),"Fort Lauderdale, FL","Jan 07, 2015 - Feb 01, 2015",Broward Center For The Performing Arts,2015-01-07 00:00:00,2015-02-01 00:00:00
32,32,32,32,The Lion King (Tour: Gazelle),"San Antonio, TX","Dec 10, 2014 - Jan 04, 2015",Majestic Theatre - San Antonio,2014-12-10 00:00:00,2015-01-04 00:00:00
33,33,33,33,The Lion King (Tour: Gazelle),"Milwaukee, WI","Nov 11, 2014 - Dec 07, 2014",Miller High Life Theatre,2014-11-11 00:00:00,2014-12-07 00:00:00
34,34,34,34,The Lion King (Tour: Gazelle),"Columbus, OH","Oct 14, 2014 - Nov 09, 2014",Ohio Theatre,2014-10-14 00:00:00,2014-11-09 00:00:00
35,35,35,35,The Lion King (Tour: Gazelle),"Boston, MA","Sep 09, 2014 - Oct 12, 2014",Opera House (MA),2014-09-09 00:00:00,2014-10-12 00:00:00
36,36,36,36,The Lion King (Tour: Gazelle),"Montreal, QC","Aug 19, 2014 - Sep 07, 2014",Place Des Arts,2014-08-19 00:00:00,2014-09-07 00:00:00
37,37,37,37,The Lion King (Tour: Gazelle),"Washington, DC","Jun 17, 2014 - Aug 17, 2014",Opera House (DC),2014-06-17 00:00:00,2014-08-17 00:00:00
38,38,38,38,The Lion King (Tour: Gazelle),"Toronto, ON","Apr 30, 2014 - Jun 15, 2014",Princess of Wales,2014-04-30 00:00:00,2014-06-15 00:00:00
39,39,39,39,The Lion King (Tour: Gazelle),"Atlanta, GA","Apr 10, 2014 - Apr 27, 2014",Fox Theatre,2014-04-10 00:00:00,2014-04-27 00:00:00
40,40,40,40,The Lion King (Tour: Gazelle),"Seattle, WA","Mar 11, 2014 - Apr 06, 2014",Paramount Theatre,2014-03-11 00:00:00,2014-04-06 00:00:00
41,41,41,41,The Lion King (Tour: Gazelle),"Honolulu, HI","Jan 14, 2014 - Mar 09, 2014",Neal S. Blaisdell Center Concert Hall,2014-01-14 00:00:00,2014-03-09 00:00:00
42,42,42,42,The Lion King (Tour: Gazelle),"Los Angeles, CA","Nov 20, 2013 - Jan 12, 2014",Pantages Theatre - Los Angeles,2013-11-20 00:00:00,2014-01-12 00:00:00
43,43,43,43,The Lion King (Tour: Gazelle),"Tempe, AZ","Oct 22, 2013 - Nov 17, 2013",ASU Gammage,2013-10-22 00:00:00,2013-11-17 00:00:00
44,44,44,44,The Lion King (Tour: Gazelle),"Dallas, TX","Oct 02, 2013 - Oct 20, 2013",Music Hall At Fair Park,2013-10-02 00:00:00,2013-10-20 00:00:00
45,45,45,45,The Lion King (Tour: Gazelle),"Pittsburgh, PA","Sep 03, 2013 - Sep 29, 2013",Benedum Center,2013-09-03 00:00:00,2013-09-29 00:00:00
46,46,46,46,The Lion King (Tour: Gazelle),"Charlotte, NC","Aug 06, 2013 - Sep 01, 2013",Belk Theater,2013-08-06 00:00:00,2013-09-01 00:00:00
47,47,47,47,The Lion King (Tour: Gazelle),"Cleveland, OH","Jul 09, 2013 - Aug 04, 2013",KeyBank State Theatre,2013-07-09 00:00:00,2013-08-04 00:00:00
48,48,48,48,The Lion King (Tour: Gazelle),"Tulsa, OK","Jun 04, 2013 - Jul 07, 2013",Chapman Music Hall At Tulsa Performing Arts Center,2013-06-04 00:00:00,2013-07-07 00:00:00
49,49,49,49,The Lion King (Tour: Gazelle),"Nashville, TN","May 07, 2013 - Jun 02, 2013",Tennessee Performing Arts Center,2013-05-07 00:00:00,2013-06-02 00:00:00
50,50,50,50,The Lion King (Tour: Gazelle),"Appleton, WI","Apr 09, 2013 - May 05, 2013",Fox Cities Performing Arts Center,2013-04-09 00:00:00,2013-05-05 00:00:00
51,51,51,51,The Lion King (Tour: Gazelle),"Omaha, NE","Mar 12, 2013 - Apr 07, 2013",Orpheum Theater - Omaha,2013-03-12 00:00:00,2013-04-07 00:00:00
52,52,52,52,The Lion King (Tour: Gazelle),"Detroit, MI","Feb 12, 2013 - Mar 10, 2013",Detroit Opera House,2013-02-12 00:00:00,2013-03-10 00:00:00
53,53,53,53,The Lion King (Tour: Gazelle),"Austin, TX","Jan 16, 2013 - Feb 10, 2013",Bass Concert Hall at University of Texas at Austin Performing Arts Center,2013-01-16 00:00:00,2013-02-10 00:00:00
54,54,54,54,The Lion King (Tour: Gazelle),"San Francisco, CA","Nov 01, 2012 - Jan 13, 2013",Orpheum Theatre - San Francisco,2012-11-01 00:00:00,2013-01-13 00:00:00
55,55,55,55,The Lion King (Tour: Gazelle),"Albuquerque, NM","Oct 02, 2012 - Oct 28, 2012",Popejoy Hall,2012-10-02 00:00:00,2012-10-28 00:00:00
56,56,56,56,The Lion King (Tour: Gazelle),"Wichita, KS","Sep 03, 2012 - Sep 30, 2012",Century II Concert Hall,2012-09-03 00:00:00,2012-09-30 00:00:00
57,57,57,57,The Lion King (Tour: Gazelle),"St. Louis, MO","Aug 13, 2012 - Sep 02, 2012",Fox Theatre - St. Louis,2012-08-13 00:00:00,2012-09-02 00:00:00
58,58,58,58,The Lion King (Tour: Gazelle),"Houston, TX","Jul 09, 2012 - Aug 12, 2012",Hobby Center For The Performing Arts,2012-07-09 00:00:00,2012-08-12 00:00:00
59,59,59,59,The Lion King (Tour: Gazelle),"Greenville, SC","Jun 11, 2012 - Jul 08, 2012",Peace Center For The Performing Arts,2012-06-11 00:00:00,2012-07-08 00:00:00
60,60,60,60,The Lion King (Tour: Gazelle),"Miami, FL","May 15, 2012 - Jun 10, 2012",Adrienne Arsht Center for the Performing Arts of Miami-Dade County,2012-05-15 00:00:00,2012-06-10 00:00:00
61,61,61,61,The Lion King (Tour: Gazelle),"Orlando, FL","Apr 16, 2012 - May 13, 2012",Bob Carr Performing Arts Centre,2012-04-16 00:00:00,2012-05-13 00:00:00
62,62,62,62,The Lion King (Tour: Gazelle),"New Orleans, LA","Mar 12, 2012 - Apr 15, 2012",Mahalia Jackson Theatre,2012-03-12 00:00:00,2012-04-15 00:00:00
63,63,63,63,The Lion King (Tour: Gazelle),"Richmond, VA","Feb 13, 2012 - Mar 11, 2012",Altria Theater,2012-02-13 00:00:00,2012-03-11 00:00:00
64,64,64,64,The Lion King (Tour: Gazelle),"Minneapolis, MN","Jan 09, 2012 - Feb 12, 2012",Orpheum Theatre - Minneapolis,2012-01-09 00:00:00,2012-02-12 00:00:00
65,65,65,65,The Lion King (Tour: Gazelle),"Baltimore, MD","Dec 05, 2011 - Jan 08, 2012",Hippodrome Theatre,2011-12-05 00:00:00,2012-01-08 00:00:00
66,66,66,66,The Lion King (Tour: Gazelle),"Denver, CO","Oct 31, 2011 - Dec 04, 2011",Buell Theatre,2011-10-31 00:00:00,2011-12-04 00:00:00
67,67,67,67,The Lion King (Tour: Gazelle),"Buffalo, NY","Oct 03, 2011 - Oct 30, 2011",Shea's Performing Arts Center,2011-10-03 00:00:00,2011-10-30 00:00:00
68,68,68,68,The Lion King (Tour: Gazelle),"Syracuse, NY","Sep 05, 2011 - Oct 02, 2011",Crouse-Hinds Theater - Mulroy Civic Center at Oncenter,2011-09-05 00:00:00,2011-10-02 00:00:00
69,69,69,69,The Lion King (Tour: Gazelle),"Montreal, QC","Aug 08, 2011 - Sep 04, 2011",Place Des Arts,2011-08-08 00:00:00,2011-09-04 00:00:00
70,70,70,70,The Lion King (Tour: Gazelle),"Ottawa, ON","Jul 11, 2011 - Aug 07, 2011",National Arts Centre:  Opera Stage,2011-07-11 00:00:00,2011-08-07 00:00:00
71,71,71,71,The Lion King (Tour: Gazelle),"Dayton, OH","Jun 14, 2011 - Jul 10, 2011",Schuster Performing Arts Center: Mead Theatre,2011-06-14 00:00:00,2011-07-10 00:00:00
72,72,72,72,The Lion King (Tour: Gazelle),"Toronto, ON","Apr 19, 2011 - Jun 12, 2011",Princess of Wales,2011-04-19 00:00:00,2011-06-12 00:00:00
73,73,73,73,The Lion King (Tour: Gazelle),"Rochester, NY","Mar 22, 2011 - Apr 17, 2011",Auditorium Theatre - Rochester,2011-03-22 00:00:00,2011-04-17 00:00:00
74,74,74,74,The Lion King (Tour: Gazelle),"Schenectady, NY","Feb 22, 2011 - Mar 20, 2011",Proctors,2011-02-22 00:00:00,2011-03-20 00:00:00
75,75,75,75,The Lion King (Tour: Gazelle),"Providence, RI","Feb 01, 2011 - Feb 20, 2011",Providence Performing Arts Center,2011-02-01 00:00:00,2011-02-20 00:00:00
76,76,76,76,The Lion King (Tour: Gazelle),"Durham, NC","Jan 04, 2011 - Jan 30, 2011",Durham Performing Arts Center,2011-01-04 00:00:00,2011-01-30 00:00:00
77,77,77,77,The Lion King (Tour: Gazelle),"Norfolk, VA","Nov 30, 2010 - Jan 02, 2011",Chrysler Hall,2010-11-30 00:00:00,2011-01-02 00:00:00
78,78,78,78,The Lion King (Tour: Gazelle),"Chicago, IL","Oct 01, 2010 - Nov 27, 2010",Cadillac Palace Theatre,2010-10-01 00:00:00,2010-11-27 00:00:00
79,79,79,79,The Lion King (Tour: Gazelle),"Salt Lake City, UT","Aug 11, 2010 - Sep 26, 2010",Capitol Theatre,2010-08-11 00:00:00,2010-09-26 00:00:00
80,80,80,80,The Lion King (Tour: Gazelle),"Vancouver, BC","Jul 13, 2010 - Aug 08, 2010",Queen Elizabeth Theatre,2010-07-13 00:00:00,2010-08-08 00:00:00
81,81,81,81,The Lion King (Tour: Gazelle),"Portland, OR","Jun 16, 2010 - Jul 11, 2010",Keller Auditorium,2010-06-16 00:00:00,2010-07-11 00:00:00
82,82,82,82,The Lion King (Tour: Gazelle),"Costa Mesa, CA","May 26, 2010 - Jun 13, 2010",Segerstrom Center for the Arts,2010-05-26 00:00:00,2010-06-13 00:00:00
83,83,83,83,The Lion King (Tour: Gazelle),"Madison, WI","Apr 27, 2010 - May 23, 2010",Overture Center,2010-04-27 00:00:00,2010-05-23 00:00:00
84,84,84,84,The Lion King (Tour: Gazelle),"Philadelphia, PA","Mar 23, 2010 - Apr 25, 2010",Academy Of Music: Kimmel Center,2010-03-23 00:00:00,2010-04-25 00:00:00
85,85,85,85,The Lion King (Tour: Gazelle),"Boston, MA","Feb 16, 2010 - Mar 21, 2010",Opera House (MA),2010-02-16 00:00:00,2010-03-21 00:00:00
86,86,86,86,The Lion King (Tour: Gazelle),"Hartford, CT","Jan 26, 2010 - Feb 14, 2010",Bushnell,2010-01-26 00:00:00,2010-02-14 00:00:00
87,87,87,87,The Lion King (Tour: Gazelle),"Des Moines, IA","Jan 05, 2010 - Jan 24, 2010",Des Moines Civic Center,2010-01-05 00:00:00,2010-01-24 00:00:00
88,88,88,88,The Lion King (Tour: Gazelle),"San Antonio, TX","Dec 15, 2009 - Jan 03, 2010",Majestic Theatre - San Antonio,2009-12-15 00:00:00,2010-01-03 00:00:00
89,89,89,89,The Lion King (Tour: Gazelle),"Spokane, WA","Nov 10, 2009 - Dec 01, 2009",First Interstate Center for the Arts,2009-11-10 00:00:00,2009-12-01 00:00:00
90,90,90,90,The Lion King (Tour: Gazelle),"San Diego, CA","Oct 13, 2009 - Nov 08, 2009",San Diego Civic Theatre,2009-10-13 00:00:00,2009-11-08 00:00:00
91,91,91,91,The Lion King (Tour: Gazelle),"Anchorage, AK","Sep 01, 2009 - Oct 11, 2009",Evangeline Atwood Concert Hall,2009-09-01 00:00:00,2009-10-11 00:00:00
92,92,92,92,The Lion King (Tour: Gazelle),"Calgary, AB","Aug 04, 2009 - Aug 30, 2009",Southern Alberta Jubilee Auditorium,2009-08-04 00:00:00,2009-08-30 00:00:00
93,93,93,93,The Lion King (Tour: Gazelle),"Edmonton, AB","Jun 30, 2009 - Aug 02, 2009",Northern Alberta Jubilee Auditorium,2009-06-30 00:00:00,2009-08-02 00:00:00
94,94,94,94,The Lion King (Tour: Gazelle),"Sacramento, CA","May 26, 2009 - Jun 28, 2009",Sacramento Community Center Theater,2009-05-26 00:00:00,2009-06-28 00:00:00
95,95,95,95,The Lion King (Tour: Gazelle),"Oklahoma City, OK","Apr 21, 2009 - May 24, 2009",Civic Center Music Hall,2009-04-21 00:00:00,2009-05-24 00:00:00
96,96,96,96,The Lion King (Tour: Gazelle),"East Lansing, MI","Mar 17, 2009 - Apr 19, 2009",Wharton Center for the Performing Arts,2009-03-17 00:00:00,2009-04-19 00:00:00
97,97,97,97,The Lion King (Tour: Gazelle),"Seattle, WA","Feb 10, 2009 - Mar 15, 2009",Paramount Theatre,2009-02-10 00:00:00,2009-03-15 00:00:00
98,98,98,98,The Lion King (Tour: Gazelle),"Tempe, AZ","Dec 30, 2008 - Feb 08, 2009",ASU Gammage,2008-12-30 00:00:00,2009-02-08 00:00:00
99,99,99,99,The Lion King (Tour: Gazelle),"Indianapolis, IN","Nov 18, 2008 - Dec 28, 2008",Murat Centre,2008-11-18 00:00:00,2008-12-28 00:00:00
100,100,100,100,The Lion King (Tour: Gazelle),"Kansas City, MO","Sep 30, 2008 - Nov 16, 2008",Municipal Auditorium Music Hall,2008-09-30 00:00:00,2008-11-16 00:00:00
101,101,101,101,The Lion King (Tour: Gazelle),"Columbus, OH","Aug 26, 2008 - Sep 28, 2008",Ohio Theatre,2008-08-26 00:00:00,2008-09-28 00:00:00
102,102,102,102,The Lion King (Tour: Gazelle),"Washington, DC","Jun 24, 2008 - Aug 24, 2008",Opera House (DC),2008-06-24 00:00:00,2008-08-24 00:00:00
103,103,103,103,The Lion King (Tour: Gazelle),"Tampa, FL","May 08, 2008 - Jun 22, 2008","David A. Straz, Jr. Center for the Performing Arts",2008-05-08 00:00:00,2008-06-22 00:00:00
104,104,104,104,The Lion King (Tour: Gazelle),"Atlanta, GA","Apr 03, 2008 - May 04, 2008",Atlanta Civic Center Theater,2008-04-03 00:00:00,2008-05-04 00:00:00
105,105,105,105,The Lion King (Tour: Gazelle),"Toledo, OH","Feb 21, 2008 - Mar 30, 2008",Stranahan Theater And Great Hall,2008-02-21 00:00:00,2008-03-30 00:00:00
106,106,106,106,The Lion King (Tour: Gazelle),"Pittsburgh, PA","Jan 10, 2008 - Feb 17, 2008",Benedum Center,2008-01-10 00:00:00,2008-02-17 00:00:00
107,107,107,107,The Lion King (Tour: Gazelle),"Detroit, MI","Nov 29, 2007 - Jan 06, 2008",Detroit Opera House,2007-11-29 00:00:00,2008-01-06 00:00:00
108,108,108,108,The Lion King (Tour: Gazelle),"Minneapolis, MN","Oct 25, 2007 - Nov 25, 2007",Orpheum Theatre - Minneapolis,2007-10-25 00:00:00,2007-11-25 00:00:00
109,109,109,109,The Lion King (Tour: Gazelle),"Dallas, TX","Sep 18, 2007 - Oct 21, 2007",Music Hall At Fair Park,2007-09-18 00:00:00,2007-10-21 00:00:00
110,110,110,110,The Lion King (Tour: Gazelle),"Memphis, TN","Aug 20, 2007 - Sep 16, 2007",Orpheum Theatre - Memphis,2007-08-20 00:00:00,2007-09-16 00:00:00
111,111,111,111,The Lion King (Tour: Gazelle),"Charlotte, NC","Jul 09, 2007 - Aug 19, 2007",Belk Theater,2007-07-09 00:00:00,2007-08-19 00:00:00
112,112,112,112,The Lion King (Tour: Gazelle),"Louisville, KY","Jun 07, 2007 - Jul 08, 2007",Kentucky Center For The Performing Arts,2007-06-07 00:00:00,2007-07-08 00:00:00
113,113,113,113,The Lion King (Tour: Gazelle),"Fort Lauderdale, FL","Apr 19, 2007 - Jun 03, 2007",Broward Center For The Performing Arts,2007-04-19 00:00:00,2007-06-03 00:00:00
114,114,114,114,The Lion King (Tour: Gazelle),"Jacksonville, FL","Mar 05, 2007 - Apr 15, 2007",Moran Theatre at Times Union Center,2007-03-05 00:00:00,2007-04-15 00:00:00
115,115,115,115,The Lion King (Tour: Gazelle),"Fort Myers, FL","Jan 15, 2007 - Mar 04, 2007",Barbara B. Mann Performing Arts Hall,2007-01-15 00:00:00,2007-03-04 00:00:00
116,116,116,116,The Lion King (Tour: Gazelle),"Orlando, FL","Dec 07, 2006 - Jan 14, 2007",Bob Carr Performing Arts Centre,2006-12-07 00:00:00,2007-01-14 00:00:00
117,117,117,117,The Lion King (Tour: Gazelle),"Nashville, TN","Oct 26, 2006 - Dec 03, 2006",Andrew Jackson Hall At Tennessee Performing Arts Center,2006-10-26 00:00:00,2006-12-03 00:00:00
118,118,118,118,The Lion King (Tour: Gazelle),"Raleigh, NC","Sep 11, 2006 - Oct 22, 2006",Raleigh Memorial Auditorium at Progress Energy Center for the Performing Arts,2006-09-11 00:00:00,2006-10-22 00:00:00
119,119,119,119,The Lion King (Tour: Gazelle),"Philadelphia, PA","Jun 05, 2006 - Sep 10, 2006",Academy Of Music: Kimmel Center,2006-06-05 00:00:00,2006-09-10 00:00:00
120,120,120,120,The Lion King (Tour: Gazelle),"Hartford, CT","Apr 17, 2006 - Jun 04, 2006",Bushnell,2006-04-17 00:00:00,2006-06-04 00:00:00
121,121,121,121,The Lion King (Tour: Gazelle),"Rochester, NY","Mar 09, 2006 - Apr 16, 2006",Auditorium Theatre - Rochester,2006-03-09 00:00:00,2006-04-16 00:00:00
122,122,122,122,The Lion King (Tour: Gazelle),"East Lansing, MI","Jan 19, 2006 - Mar 05, 2006",Wharton Center for the Performing Arts,2006-01-19 00:00:00,2006-03-05 00:00:00
123,123,123,123,The Lion King (Tour: Gazelle),"Norfolk, VA","Dec 09, 2005 - Jan 15, 2006",Chrysler Hall,2005-12-09 00:00:00,2006-01-15 00:00:00
124,124,124,124,The Lion King (Tour: Gazelle),"Providence, RI","Oct 20, 2005 - Dec 04, 2005",Providence Performing Arts Center,2005-10-20 00:00:00,2005-12-04 00:00:00
125,125,125,125,The Lion King (Tour: Gazelle),"Birmingham, AL","Sep 09, 2005 - Oct 16, 2005",Birmingham-Jefferson Concert Hall,2005-09-09 00:00:00,2005-10-16 00:00:00
126,126,126,126,The Lion King (Tour: Gazelle),"Baltimore, MD","Jun 02, 2005 - Sep 04, 2005",Hippodrome Theatre,2005-06-02 00:00:00,2005-09-04 00:00:00
127,127,127,127,The Lion King (Tour: Gazelle),"Minneapolis, MN","Apr 07, 2005 - May 29, 2005",Orpheum Theatre - Minneapolis,2005-04-07 00:00:00,2005-05-29 00:00:00
128,128,128,128,The Lion King (Tour: Gazelle),"Buffalo, NY","Feb 24, 2005 - Apr 03, 2005",Shea's Performing Arts Center,2005-02-24 00:00:00,2005-04-03 00:00:00
129,129,129,129,The Lion King (Tour: Gazelle),"Boston, MA","Jul 12, 2004 - Feb 20, 2005",Opera House (MA),2004-07-12 00:00:00,2005-02-20 00:00:00
130,130,130,130,The Lion King (Tour: Gazelle),"Columbus, OH","May 31, 2004 - Jul 11, 2004",Ohio Theatre,2004-05-31 00:00:00,2004-07-11 00:00:00
131,131,131,131,The Lion King (Tour: Gazelle),"Detroit, MI","Mar 29, 2004 - May 30, 2004",Masonic Temple Theatre,2004-03-29 00:00:00,2004-05-30 00:00:00
132,132,132,132,The Lion King (Tour: Gazelle),"Indianapolis, IN","Feb 16, 2004 - Mar 28, 2004",Murat Centre,2004-02-16 00:00:00,2004-03-28 00:00:00
133,133,133,133,The Lion King (Tour: Gazelle),"Pittsburgh, PA","Jan 12, 2003 - Feb 15, 2004",Benedum Center,2003-01-12 00:00:00,2004-02-15 00:00:00
134,134,134,134,The Lion King (Tour: Gazelle),"Memphis, TN","Nov 24, 2003 - Jan 04, 2004",Orpheum Theatre - Memphis,2003-11-24 00:00:00,2004-01-04 00:00:00
135,135,135,135,The Lion King (Tour: Gazelle),"Louisville, KY","Oct 13, 2003 - Nov 23, 2003",Kentucky Center For The Performing Arts,2003-10-13 00:00:00,2003-11-23 00:00:00
136,136,136,136,The Lion King (Tour: Gazelle),"St. Louis, MO","Aug 18, 2003 - Oct 12, 2003",Fox Theatre - St. Louis,2003-08-18 00:00:00,2003-10-12 00:00:00
137,137,137,137,The Lion King (Tour: Gazelle),"Cleveland, OH","Jun 23, 2003 - Aug 17, 2003",KeyBank State Theatre,2003-06-23 00:00:00,2003-08-17 00:00:00
138,138,138,138,The Lion King (Tour: Gazelle),"Charlotte, NC","May 19, 2003 - Jun 22, 2003",Belk Theater,2003-05-19 00:00:00,2003-06-22 00:00:00
139,139,139,139,The Lion King (Tour: Gazelle),"Cincinnati, OH","Mar 24, 2003 - May 18, 2003",Aronoff Center For The Arts: Procter &amp; Gamble Hall,2003-03-24 00:00:00,2003-05-18 00:00:00
140,140,140,140,The Lion King (Tour: Gazelle),"Atlanta, GA","Jan 27, 2003 - Mar 23, 2003",Atlanta Civic Center Theater,2003-01-27 00:00:00,2003-03-23 00:00:00
141,141,141,141,The Lion King (Tour: Gazelle),"Tampa, FL","Dec 13, 2002 - Jan 26, 2003","David A. Straz, Jr. Center for the Performing Arts",2002-12-13 00:00:00,2003-01-26 00:00:00
142,142,142,142,The Lion King (Tour: Gazelle),"Fort Lauderdale, FL","Oct 25, 2002 - Dec 08, 2002",Broward Center For The Performing Arts,2002-10-25 00:00:00,2002-12-08 00:00:00
143,143,143,143,The Lion King (Tour: Gazelle),"Dallas, TX","Sep 10, 2002 - Oct 20, 2002",Music Hall At Fair Park,2002-09-10 00:00:00,2002-10-20 00:00:00
144,144,144,144,The Lion King (Tour: Gazelle),"Fort Worth, TX","Aug 27, 2002 - Sep 08, 2002",Bass Performance Hall,2002-08-27 00:00:00,2002-09-08 00:00:00
145,145,145,145,The Lion King (Tour: Gazelle),"Houston, TX","Jul 09, 2002 - Aug 25, 2002",Jones Hall For The Performing Arts,2002-07-09 00:00:00,2002-08-25 00:00:00
146,146,146,146,The Lion King (Tour: Gazelle),"Denver, CO","Apr 17, 2002 - Jun 30, 2002",Buell Theatre,2002-04-17 00:00:00,2002-06-30 00:00:00
147,147,147,147,The Book of Mormon (Tour: Jumamosi),"Los Angeles, CA","Feb 18, 2020 - Mar 11, 2020",Ahmanson Theatre,2020-02-18 00:00:00,2020-03-11 00:00:00
